,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
42,Broken Hill,0,AU,1581813462,53,-31.95,141.43,75.2,13.87
43,Hermanus,0,ZA,1581813462,74,-34.42,19.23,75.99,5.99
44,Kaitangata,100,NZ,1581813462,81,-46.28,169.85,64.99,1.01
45,Darnah,12,LY,1581813463,76,32.77,22.64,59.09,21.27
46,Jamestown,90,US,1581813463,53,42.1,-79.24,34.0,20.8
47,Ahipara,84,NZ,1581813463,100,-35.17,173.17,73.99,13.27
48,Provideniya,100,RU,1581813463,78,64.38,-173.3,-5.42,16.46
49,Podgornoye,90,RU,1581813463,97,51.73,39.15,32.0,2.24
50,Hilo,20,US,1581813464,54,19.73,-155.09,80.6,14.99
51,Torbay,40,CA,1581813464,66,47.67,-52.73,19.99,23.04
52,La Ronge,20,CA,1581813464,53,55.1,-105.28,-4.0,3.36
53,Changping,47,CN,1581813464,45,40.22,116.22,28.99,8.95
54,Sawang Daen Din,58,TH,1581813464,35,17.48,103.46,72.91,3.18
55,Geraldton,90,AU,1581813464,64,-28.77,114.6,71.6,18.34
56,Calabozo,3,VE,1581813464,38,8.92,-67.43,85.78,5.35
57,Ribeira Grande,100,PT,1581813464,88,38.52,-28.7,60.71,23.11
58,Busselton,0,AU,1581813465,76,-33.65,115.33,69.01,4.38
59,Tuatapere,100,NZ,1581813465,88,-46.13,167.68,64.99,10.0
60,Taoudenni,52,ML,1581813465,18,22.68,-3.98,71.78,13.53
61,Codrington,100,AU,1581813465,90,-38.27,141.97,62.56,9.73
62,Ambon,20,ID,1581813465,55,-3.7,128.18,91.4,6.93
63,Meulaboh,100,ID,1581813465,74,4.14,96.13,81.23,5.68
64,Dikson,100,RU,1581813465,96,73.51,80.55,16.95,9.66
65,Harlingen,1,US,1581813465,64,26.19,-97.7,78.8,19.46
66,Khatanga,100,RU,1581813465,90,71.97,102.5,6.08,11.3
67,Trincomalee,19,LK,1581813466,96,8.57,81.23,69.13,1.14
68,Ostrovnoy,68,RU,1581813466,88,68.05,39.51,21.29,19.06
69,Albany,1,US,1581813302,41,42.6,-73.97,26.01,3.36
70,Avera,1,US,1581813466,57,33.19,-82.53,53.6,3.36
71,Port Augusta,75,AU,1581813466,68,-32.5,137.77,75.0,9.17
72,Tura,0,IN,1581813466,66,25.52,90.22,60.6,3.65
73,Hastings,100,GB,1581813434,93,50.86,0.57,54.0,41.38
74,Sittwe,0,MM,1581813466,86,20.15,92.9,63.97,6.67
75,Majene,100,ID,1581813466,94,-3.54,118.97,74.17,6.87
76,Berlevag,96,NO,1581813467,77,70.86,29.09,25.97,10.16
77,Arraial do Cabo,40,BR,1581813467,88,-22.97,-42.03,78.8,11.41
78,Bluff,100,NZ,1581813467,88,-46.6,168.33,64.99,10.0
79,Nea Apollonia,40,GR,1581813467,81,40.63,23.45,50.0,2.24
80,Yangzhou,100,CN,1581813467,79,32.4,119.44,36.0,3.0
81,Naze,75,JP,1581813467,94,28.37,129.48,71.6,24.16
82,Tiksi,100,RU,1581813467,86,71.69,128.87,-3.41,9.19
83,Acapulco de Juarez,20,MX,1581813467,78,16.86,-99.89,82.4,9.17
84,Avarua,80,CK,1581813467,83,-21.21,-159.78,82.4,8.05
85,Mount Gambier,90,AU,1581813467,77,-37.83,140.77,62.6,10.29
86,Garissa,100,KE,1581813468,64,-0.45,39.64,79.68,7.83
87,San Patricio,40,MX,1581813468,74,19.22,-104.7,82.4,5.82
88,Port Alfred,93,ZA,1581813468,98,-33.59,26.89,72.0,1.01
89,Chake Chake,97,TZ,1581813468,77,-5.25,39.77,82.78,13.71
90,San Jeronimito,75,MX,1581813468,45,17.55,-101.33,87.8,8.05
91,Juba,100,SS,1581813468,45,4.85,31.58,79.0,2.04
92,Altamont,90,US,1581813468,86,42.21,-121.74,43.0,10.29
93,Bredasdorp,0,ZA,1581813468,88,-34.53,20.04,75.99,4.7
94,Shizuishan,0,CN,1581813468,36,39.23,106.77,14.95,2.68
95,Faya,0,SA,1581813469,54,18.39,42.45,59.0,9.17
96,Quelimane,63,MZ,1581813469,89,-17.88,36.89,79.07,4.9
97,Arara,30,BR,1581813469,83,-6.83,-35.76,75.2,11.41
98,Wangou,100,CN,1581813469,92,42.06,126.91,13.68,6.08
99,Shache,100,CN,1581813469,58,38.42,77.24,33.01,1.79
100,Coruripe,0,BR,1581813198,74,-10.13,-36.18,81.1,7.9
101,Saskylakh,99,RU,1581813469,91,71.92,114.08,6.42,7.67
102,Butaritari,100,KI,1581813470,73,3.07,172.79,82.76,18.66
103,Caravelas,67,BR,1581813470,84,-17.71,-39.25,80.74,11.43
104,Tekeli,92,KZ,1581813470,88,44.83,78.82,12.96,6.6
105,Beringovskiy,100,RU,1581813470,92,63.05,179.32,-1.25,28.43
106,Thompson,5,CA,1581813191,63,55.74,-97.86,-7.6,9.17
107,Pevek,100,RU,1581813470,99,69.7,170.31,-19.7,5.75
108,Inhambane,7,MZ,1581813442,79,-23.86,35.38,79.29,8.28
109,Qaanaaq,90,GL,1581813470,31,77.48,-69.36,0.93,5.5
110,Port Elizabeth,90,ZA,1581813470,94,-33.92,25.57,73.4,5.82
111,Puerto Ayora,40,EC,1581813471,78,-0.74,-90.35,80.6,19.46
112,Dhidhdhoo,6,MV,1581813471,76,6.88,73.1,82.35,9.26
113,Luderitz,1,NA,1581813471,93,-26.65,15.16,62.6,1.12
114,Kahului,20,US,1581813214,48,20.89,-156.47,82.4,19.46
115,Mazagao,20,BR,1581813471,100,-0.12,-51.29,78.8,8.05
116,Camalu,0,MX,1581813471,37,30.85,-116.07,67.05,5.97
117,Vostok,7,RU,1581813471,87,46.49,135.88,1.17,2.95
118,Pirovskoye,100,RU,1581813471,95,57.63,92.27,9.18,2.89
119,Tukrah,18,LY,1581813472,80,32.53,20.58,56.57,16.82
120,Nantucket,40,US,1581813342,63,41.28,-70.1,27.0,12.75
121,Chui,33,UY,1581813472,82,-33.7,-53.46,75.24,8.61
122,Mecca,7,SA,1581813347,82,21.43,39.83,71.55,1.32
123,Ilulissat,69,GL,1581813472,71,69.22,-51.1,5.0,9.17
124,Itoman,20,JP,1581813472,88,26.12,127.67,75.2,19.46
125,Saint-Joseph,40,RE,1581813472,83,-21.37,55.62,78.8,8.05
126,Warrington,100,GB,1581813366,93,53.39,-2.58,51.01,9.17
127,Avanuorri,100,NO,1581813473,73,71.0,24.66,23.0,12.75
128,Cherskiy,100,RU,1581813473,97,68.75,161.3,-30.51,5.1
129,East London,52,ZA,1581813473,87,-33.02,27.91,75.42,3.02
130,Shelburne,90,CA,1581813474,68,44.08,-80.2,30.0,16.11
131,Marawi,45,PH,1581813474,74,8.0,124.29,77.0,1.99
132,Carnarvon,90,AU,1581813474,78,-24.87,113.63,75.2,19.46
133,Porto-Novo,20,BJ,1581813475,88,6.5,2.6,82.4,8.05
134,Cabedelo,0,BR,1581813475,83,-6.98,-34.83,78.8,5.82
135,Zhigansk,100,RU,1581813475,96,66.77,123.37,-10.14,18.77
136,Ancud,77,CL,1581813241,67,-41.87,-73.82,57.2,6.93
137,Pag,82,HR,1581813475,93,44.45,15.06,37.4,5.82
138,Novaya Igirma,67,RU,1581813475,96,57.13,103.91,2.28,3.44
139,Butajira,0,ET,1581813475,55,8.12,38.37,62.58,9.17
140,Saint George,1,US,1581813303,19,37.1,-113.58,61.0,9.17
141,Tongeren,40,BE,1581813476,66,50.78,5.46,55.99,26.4
142,Luocheng,67,CN,1581813476,50,29.38,104.03,40.14,4.54
143,Paphos,20,CY,1581813476,76,34.77,32.42,55.4,6.93
144,Chokurdakh,47,RU,1581813476,87,70.63,147.92,-22.47,11.03
145,Te Anau,100,NZ,1581813476,96,-45.42,167.72,54.25,5.01
146,Kavaratti,5,IN,1581813476,72,10.57,72.64,81.46,7.23
147,Bolivar,90,US,1581813181,80,37.61,-93.41,48.99,6.55
148,Phuket,40,TH,1581813476,69,8.0,98.25,80.6,4.7
149,Tezu,20,IN,1581813476,77,27.92,96.17,56.35,2.75
150,Zandvoort,75,NL,1581813477,81,52.37,4.53,55.99,32.21
151,Touros,40,BR,1581813477,83,-5.2,-35.46,80.6,5.82
152,Bambanglipuro,2,ID,1581813477,86,-7.95,110.28,77.4,2.13
153,Souillac,40,MU,1581813477,78,-20.52,57.52,79.0,10.29
154,Pipar,0,IN,1581813477,14,26.39,73.54,58.59,5.64
155,Agadez,0,NE,1581813477,15,19.75,10.25,62.78,11.32
156,Longyearbyen,75,SJ,1581813477,57,78.22,15.64,19.4,31.09
157,Rondonopolis,73,BR,1581813323,85,-16.47,-54.64,77.68,2.13
158,Huarmey,42,PE,1581813478,76,-10.07,-78.15,70.84,5.41
159,Hong Kong,40,HK,1581813397,76,22.29,114.16,57.0,20.8
160,Yaan,64,NG,1581813478,14,7.38,8.57,77.79,1.92
161,Hualmay,66,PE,1581813478,81,-11.1,-77.61,70.03,5.57
162,Neiafu,40,TO,1581813478,70,-18.65,-173.98,84.2,12.75
163,Washington,1,US,1581813247,56,47.5,-120.5,46.99,2.3
164,Antofagasta,40,CL,1581813462,83,-23.65,-70.4,69.8,8.05
165,Redlands,1,US,1581813256,28,34.06,-117.18,71.6,6.93
166,Maragogi,10,BR,1581813478,72,-9.01,-35.22,82.53,8.63
167,Alugan,24,PH,1581813479,84,12.22,125.48,79.81,10.33
168,Bengkulu,98,ID,1581813479,92,-3.8,102.27,72.99,3.24
169,Puerto Quijarro,97,BO,1581813479,78,-17.78,-57.77,80.4,1.54
170,Dargaville,99,NZ,1581813479,57,-35.93,173.88,76.82,9.31
171,Iralaya,20,HN,1581813479,78,15.0,-83.23,80.6,10.29
172,Vestmannaeyjar,85,IS,1581813479,82,63.44,-20.27,39.33,28.39
173,Cabo San Lucas,40,MX,1581813277,64,22.89,-109.91,75.0,9.17
174,Furano,75,JP,1581813479,72,43.28,142.47,15.8,2.06
175,Riyadh,0,SA,1581813311,40,24.69,46.72,53.6,3.36
176,Pisco,34,PE,1581813480,73,-13.7,-76.22,77.0,14.99
177,Isangel,20,VU,1581813480,58,-19.55,169.27,87.8,11.41
178,Soure,95,BR,1581813480,92,-0.72,-48.52,76.42,5.14
179,Hasaki,75,JP,1581813480,100,35.73,140.83,53.6,2.24
180,Turaif,20,SA,1581813480,57,31.67,38.66,48.2,14.99
181,Valdosta,1,US,1581813398,55,30.83,-83.28,62.6,3.36
182,Irmo,75,US,1581813480,57,34.09,-81.18,48.2,4.7
183,Lufilufi,90,WS,1581813480,88,-13.87,-171.6,80.6,8.05
184,Ajdabiya,5,LY,1581813420,70,30.76,20.23,60.87,16.02
185,Port Macquarie,90,AU,1581813481,78,-31.43,152.92,81.0,2.24
186,Znamenskoye,89,RU,1581813481,96,57.13,73.83,11.66,4.9
187,Sterlibashevo,97,RU,1581813481,94,53.44,55.26,8.02,4.88
188,Kumul,76,CN,1581813481,43,42.8,93.45,17.26,3.33
189,Puerto Leguizamo,89,CO,1581813420,59,-0.19,-74.78,81.68,1.01
190,Grindavik,40,IS,1581813481,70,63.84,-22.43,37.4,25.28
191,Robertsport,0,LR,1581813482,82,6.75,-11.37,81.45,10.16
192,Senno,100,RU,1581813482,90,59.53,33.92,32.0,10.0
193,Mar del Plata,25,AR,1581813311,54,-38.0,-57.56,80.01,9.17
194,Kabalo,97,CD,1581813482,97,-6.05,26.92,68.2,2.91
195,Sarangani,6,PH,1581813482,71,5.4,125.46,81.59,14.2
196,Yar-Sale,99,RU,1581813185,95,66.83,70.83,4.32,7.61
197,Dasoguz,80,TM,1581813482,92,41.84,59.97,24.8,6.93
198,Tual,1,ID,1581813482,78,-5.67,132.75,83.84,12.35
199,Bubaque,3,GW,1581813483,75,11.28,-15.83,78.87,9.71
200,Nahrin,59,AF,1581813483,84,36.06,69.13,25.36,1.63
201,Severo-Kuril'sk,100,RU,1581813483,90,50.68,156.12,18.9,18.9
202,Taseyevo,97,RU,1581813483,93,57.22,94.9,8.4,0.4
203,Coahuayana Viejo,40,MX,1581813483,54,18.73,-103.68,82.4,9.17
204,Rawson,16,AR,1581813483,34,-43.3,-65.1,72.59,25.97
205,Chabahar,0,IR,1581813483,36,25.29,60.64,68.22,6.22
206,La Union,83,PE,1581813483,56,-5.4,-80.75,81.95,20.09
207,Mount Isa,0,AU,1581813484,23,-20.73,139.5,95.0,14.99
208,Namatanai,70,PG,1581813484,77,-3.67,152.43,83.25,10.45
209,Nanortalik,90,GL,1581813484,82,60.14,-45.24,27.97,18.84
210,Castro,93,BR,1581813484,69,-24.79,-50.01,68.0,3.13
211,Mehamn,91,NO,1581813484,89,71.04,27.85,17.13,7.29
212,Oistins,20,BB,1581813484,69,13.07,-59.53,78.8,19.46
213,Bow Island,40,CA,1581813484,73,49.87,-111.37,24.8,4.7
214,Saint George's,40,GD,1581813262,74,12.06,-61.75,80.6,11.41
215,Dalvik,75,IS,1581813484,98,65.97,-18.53,33.8,13.87
216,Fortuna,20,US,1581813485,71,40.6,-124.16,54.0,9.17
217,Longjiang,31,CN,1581813485,85,47.33,123.18,1.8,6.38
218,Lagoa,100,PT,1581813485,82,39.05,-27.98,64.18,28.66
219,Teluknaga,40,ID,1581813485,83,-6.1,106.64,84.0,4.7
220,Fairbanks,20,US,1581813485,63,64.84,-147.72,-8.0,3.36
221,Alofi,100,NU,1581813485,70,-19.06,-169.92,84.2,16.11
222,Schladming,42,AT,1581813485,99,47.39,13.69,30.99,4.41
223,Colborne,90,CA,1581813486,63,44.0,-77.88,30.99,5.82
224,Katangli,100,RU,1581813486,89,51.71,143.23,3.51,10.02
225,Hutchinson,1,US,1581813486,56,38.06,-97.93,44.6,6.93
226,Labuhan,100,ID,1581813486,91,-6.88,112.21,76.23,3.53
227,Roald,100,NO,1581813486,64,62.58,6.13,50.0,14.99
228,Port Moresby,20,PG,1581813486,66,-9.44,147.18,86.0,8.05
229,Ust'-Ishim,99,RU,1581813486,94,57.69,71.17,24.44,5.75
230,Lugovoy,100,KZ,1581813486,97,42.95,72.76,31.87,6.62
231,Puerto del Rosario,75,ES,1581813487,82,28.5,-13.86,64.4,17.22
232,Broome,1,US,1581813487,45,42.25,-75.83,28.0,12.75
233,Cartagena,20,CO,1581813487,78,10.4,-75.51,80.6,12.75
234,Baffa,100,PK,1581813487,38,34.44,73.22,44.91,4.94
235,San Jose,75,US,1581813257,55,37.34,-121.89,66.2,13.87
236,Semnan,100,IR,1581813487,47,35.57,53.4,32.11,10.25
237,Maceio,20,BR,1581813487,88,-9.67,-35.74,77.0,4.7
238,Sambava,72,MG,1581813487,97,-14.27,50.17,73.15,2.08
239,Ouallam,0,NE,1581813487,9,14.32,2.09,71.22,8.86
240,Faanui,100,PF,1581813488,66,-16.48,-151.75,83.89,6.73
241,Divnomorskoye,95,RU,1581813488,67,44.5,38.14,40.21,9.93
242,Uige,100,AO,1581813488,94,-7.61,15.06,68.43,3.47
243,Pathein,46,MM,1581813488,78,16.78,94.73,71.51,10.09
244,Moerai,100,PF,1581813488,77,-22.43,-151.33,81.12,7.81
245,Henties Bay,68,NA,1581813488,91,-22.12,14.28,64.99,7.61
246,Huaihua,80,CN,1581813347,90,27.55,109.96,31.55,3.4
247,Comodoro Rivadavia,0,AR,1581813457,30,-45.87,-67.5,68.0,17.22
248,Abu Zabad,0,SD,1581813489,24,12.35,29.25,71.31,13.11
249,Shafranovo,84,RU,1581813490,93,53.97,54.77,6.13,2.21
250,Tasiilaq,96,GL,1581813490,59,65.61,-37.64,23.9,16.58
251,Coquimbo,0,CL,1581813490,87,-29.95,-71.34,60.8,10.29
252,Constitucion,2,CL,1581813490,89,-35.33,-72.42,56.48,10.76
253,'Ahuimanu,40,US,1581813372,45,21.44,-157.84,82.4,20.8
254,Makhachkala,20,RU,1581813242,75,42.98,47.5,41.0,17.9
255,Panzhihua,34,CN,1581813491,79,26.59,101.71,41.4,5.21
256,Sao Filipe,55,CV,1581813491,53,14.9,-24.5,75.31,13.87
257,Bethel,1,US,1581813491,57,41.37,-73.41,28.99,10.29
258,Peterhead,60,GB,1581813491,80,57.51,-1.8,41.0,13.87
259,Karatau,49,KZ,1581813491,74,43.17,70.47,27.81,33.58
260,Tilichiki,100,RU,1581813491,86,60.47,166.1,-1.34,10.49
261,Ankang,81,CN,1581813491,70,32.68,109.02,27.27,2.8
262,Swan Hill,0,AU,1581813491,58,-35.34,143.55,78.01,3.0
263,Dingle,11,PH,1581813491,79,11.0,122.67,76.77,11.27
264,Port Lincoln,74,AU,1581813364,64,-34.73,135.87,65.19,10.18
265,Irece,45,BR,1581813235,83,-11.3,-41.86,70.97,6.31
266,Pemangkat,100,ID,1581813492,89,1.17,108.97,77.85,5.99
267,Tullahoma,1,US,1581813492,36,35.36,-86.21,50.0,5.82
268,Cidreira,20,BR,1581813492,83,-30.18,-50.21,77.38,14.09
269,Phan Thiet,12,VN,1581813492,72,10.93,108.1,74.16,2.62
270,Russell,1,US,1581813492,50,32.35,-85.2,53.6,3.36
271,Omboue,99,GA,1581813492,94,-1.57,9.26,77.7,2.26
272,Spirit River,75,CA,1581813492,78,55.78,-118.84,8.6,8.05
273,Tomatlan,88,MX,1581813492,46,19.93,-105.25,82.17,4.03
274,Waiouru,59,NZ,1581813323,36,-39.48,175.67,75.38,8.52
275,Gamba,95,GA,1581813493,86,-2.65,10.0,79.86,2.59
276,Husavik,75,IS,1581813493,88,66.04,-17.34,33.8,13.87
277,Raudeberg,100,NO,1581813493,86,61.99,5.14,46.99,28.86
278,Brewster,1,US,1581813248,57,41.4,-73.62,28.99,10.29
279,Clyde River,90,CA,1581813493,84,70.47,-68.59,-0.4,18.34
280,Esperance,90,AU,1581813493,100,-33.87,121.9,66.2,19.46
281,Solvychegodsk,99,RU,1581813493,96,61.33,46.92,15.13,4.74
282,Plettenberg Bay,93,ZA,1581813493,55,-34.05,23.37,79.25,11.9
283,Baharly,95,TM,1581813494,52,38.44,57.43,39.88,14.72
284,Leh,98,IN,1581813494,52,34.17,77.58,1.18,6.6
285,Tabas,13,IR,1581813494,31,33.6,56.92,35.6,2.24
286,Tvedestrand,100,NO,1581813494,100,58.62,8.93,46.4,34.45
287,Penzance,100,GB,1581813494,100,50.12,-5.54,55.0,44.96
288,Hobyo,78,SO,1581813494,74,5.35,48.53,77.97,17.9
289,Anadyr,100,RU,1581813494,69,64.75,177.48,-7.01,13.42
290,Blind River,90,CA,1581813494,86,46.18,-82.96,28.4,9.17
291,Port Hardy,75,CA,1581813494,80,50.7,-127.42,41.0,6.93
292,Alamosa,1,US,1581813495,16,37.47,-105.87,50.0,5.82
293,Laas,43,IT,1581813495,78,46.62,10.7,35.01,2.24
294,Camacha,20,PT,1581813495,87,33.08,-16.33,60.8,3.36
295,Belyy,77,RU,1581813495,88,55.84,32.94,30.0,8.9
296,Loandjili,40,CG,1581813495,89,-4.76,11.86,84.2,4.7
297,Vanderhoof,25,CA,1581813495,75,54.02,-124.02,33.22,7.67
298,Sur,0,OM,1581813495,52,22.57,59.53,67.03,9.82
299,Bojnourd,77,IR,1581813495,63,37.47,57.33,30.2,6.93
300,Pochutla,20,MX,1581813496,70,15.74,-96.47,86.0,11.41
301,Narsaq,91,GL,1581813496,53,60.92,-46.05,26.6,3.53
302,Bereznik,100,RU,1581813496,93,62.86,42.71,23.05,6.69
303,Tiarei,75,PF,1581813496,70,-17.53,-149.33,84.2,11.41
304,Jacksonville,40,US,1581813455,72,30.33,-81.66,62.01,12.75
305,Lebu,0,CL,1581813496,83,-37.62,-73.65,57.76,6.51
306,Tamandare,10,BR,1581813496,72,-8.76,-35.1,82.53,8.63
307,Ojinaga,1,MX,1581813496,18,29.57,-104.42,71.6,5.82
308,Newtonmore,97,GB,1581813497,80,57.07,-4.12,39.2,11.41
309,Carbonia,5,IT,1581813497,93,39.17,8.52,50.0,1.12
310,Mount Pleasant,90,US,1581813497,81,32.79,-79.86,48.99,7.38
311,Gniezno,32,PL,1581813497,81,52.53,17.58,37.99,9.17
312,Brownsville,1,US,1581813215,64,25.9,-97.5,77.0,13.87
313,George,79,ZA,1581813497,94,-33.96,22.46,68.0,3.36
314,Tanout,6,NE,1581813497,14,14.97,8.89,65.55,10.85
315,Lorengau,82,PG,1581813498,77,-2.02,147.27,83.57,13.56
316,Itimadpur,0,IN,1581813498,30,27.25,78.2,53.69,4.76
317,Bandarbeyla,73,SO,1581813498,77,9.49,50.81,75.51,14.38
318,Bathsheba,20,BB,1581813498,69,13.22,-59.52,78.8,19.46
319,Cap Malheureux,40,MU,1581813498,78,-19.98,57.61,79.0,10.29
320,Bodmin,100,GB,1581813498,100,50.47,-4.72,55.99,38.03
321,Upington,47,ZA,1581813498,61,-28.45,21.26,77.0,6.93
322,North Myrtle Beach,1,US,1581813498,65,33.82,-78.68,46.99,5.82
323,Wajima,75,JP,1581813498,93,37.4,136.9,46.4,8.05
324,Dunedin,100,NZ,1581813215,81,-45.87,170.5,64.0,3.0
325,Woodward,1,US,1581813247,46,36.43,-99.39,51.8,8.05
326,Mahebourg,40,MU,1581813499,78,-20.41,57.7,79.0,10.29
327,Pervomayskoye,100,RU,1581813499,81,43.92,46.71,38.41,14.29
328,Bentiu,3,SS,1581813499,16,9.23,29.83,79.09,3.0
329,Laguna,1,US,1581813499,48,38.42,-121.42,68.0,2.95
330,Gagnoa,0,CI,1581813499,92,6.13,-5.94,73.27,2.75
331,Nemuro,100,JP,1581813499,48,43.32,145.57,19.4,6.93
332,Vao,64,NC,1581813499,78,-22.67,167.48,79.61,18.99
333,Deer Lake,90,CA,1581813499,78,49.17,-57.43,15.8,18.34
334,Provincia di Biella,42,IT,1581813500,100,45.59,8.09,45.0,5.82
335,Lavrentiya,100,RU,1581813500,80,65.58,-171.0,-4.67,12.33
336,Bara,1,NG,1581813500,14,10.37,10.73,68.56,9.1
337,Nalut,0,LY,1581813500,71,30.33,10.85,50.43,10.25
338,Sucre,100,BO,1581813500,78,-19.03,-65.26,58.01,4.14
339,Felanitx,75,ES,1581813500,82,39.47,3.15,57.2,5.82
340,Cuenca,75,EC,1581813346,63,-2.88,-78.98,64.4,10.29
341,Itarema,96,BR,1581813501,88,-2.92,-39.92,76.1,2.77
342,Mossamedes,92,AO,1581813501,76,-15.2,12.15,74.08,4.74
343,Umm Lajj,21,SA,1581813501,42,25.02,37.27,68.95,3.18
344,Grants,1,US,1581813330,23,35.15,-107.85,51.8,9.17
345,Gummidipundi,20,IN,1581813501,88,13.4,80.15,78.01,4.65
346,Adrar,96,MR,1581813501,15,20.5,-10.07,73.31,9.62
347,Jalu,0,LY,1581813501,70,29.03,21.55,55.96,10.92
348,Adilabad,0,IN,1581813501,33,19.67,78.53,66.18,2.68
349,Praxedis Guerrero,1,MX,1581813501,22,31.37,-106.02,66.2,13.87
350,Alice Springs,0,AU,1581813243,28,-23.7,133.88,86.0,12.75
351,Haines Junction,100,CA,1581813502,95,60.75,-137.51,-8.05,5.21
352,Mvuma,25,ZW,1581813502,96,-19.28,30.53,64.33,5.19
353,Chincha Alta,61,PE,1581813502,73,-13.41,-76.13,77.0,14.99
354,Sitka,75,US,1581813502,80,57.05,-135.33,39.2,11.41
355,Tambura,65,SS,1581813502,44,5.6,27.47,79.45,2.75
356,Bogorodskoye,96,RU,1581813502,92,56.55,37.88,25.47,10.16
357,Yining,71,CN,1581813502,90,29.04,114.56,31.28,0.96
358,Bogo,16,PH,1581813502,79,11.05,124.01,79.39,9.15
359,College,20,US,1581813502,63,64.86,-147.8,-8.0,3.36
360,Ust-Nera,56,RU,1581813503,97,64.57,143.2,-28.52,2.51
361,Alyangula,40,AU,1581813365,66,-13.85,136.42,91.4,10.29
362,Cockburn Town,0,TC,1581813257,80,21.46,-71.14,77.65,15.77
363,Muli,61,MV,1581813503,78,2.92,73.57,82.47,11.34
364,Porangatu,94,BR,1581813287,89,-13.44,-49.15,74.35,0.51
365,Troitskoye,67,RU,1581813503,89,52.98,84.68,15.4,5.57
366,Xinmin,90,CN,1581813503,78,41.99,122.83,14.0,15.66
367,Puerto Madryn,81,AR,1581813503,16,-42.77,-65.04,78.64,12.86
368,Langham,90,CA,1581813504,64,52.37,-106.97,3.0,3.6
369,Cayenne,75,GF,1581813504,94,4.93,-52.33,77.0,8.05
370,Bayji,50,IQ,1581813504,47,34.93,43.49,47.03,3.02
371,Yulara,0,AU,1581813504,24,-25.24,130.99,89.6,14.99
372,Vila Franca do Campo,75,PT,1581813504,88,37.72,-25.43,62.6,19.46
373,Areka,99,ET,1581813504,61,7.07,37.7,71.98,1.07
374,Brae,99,GB,1581813504,70,60.4,-1.35,42.8,29.97
